"AnchorUrl","ApplicationPermissions","OperationPermissions","ResourceType","OriginalName","PrefixedName","LastUpdated"
"https://learn.microsoft.com/en-us/graph/utcm-intune-resources#wifiConfigurationPolicymacOS-resource-type","DeviceManagementConfiguration.Read.All, DeviceManagementConfiguration.ReadWrite.All, Group.Read.All","Read: Group.Read.All, DeviceManagementConfiguration.Read.All | Update: Group.Read.All, DeviceManagementConfiguration.ReadWrite.All","intune","wifiConfigurationPolicymacOS","microsoft.intune.wifiConfigurationPolicymacOS","2026-02-06T10:47:33Z"
"https://learn.microsoft.com/en-us/graph/utcm-intune-resources#wificonfigurationpolicymacos-resource-type","DeviceManagementConfiguration.Read.All, DeviceManagementConfiguration.ReadWrite.All, Group.Read.All","Read: Group.Read.All, DeviceManagementConfiguration.Read.All | Update: Group.Read.All, DeviceManagementConfiguration.ReadWrite.All","intune","wificonfigurationpolicymacos","microsoft.intune.wificonfigurationpolicymacos","2026-02-06T10:47:33Z"
"https://learn.microsoft.com/en-us/graph/utcm-intune-resources#wificonfigurationpolicywindows10-resource-type","DeviceManagementConfiguration.Read.All, DeviceManagementConfiguration.ReadWrite.All, Group.Read.All","Read: Group.Read.All, DeviceManagementConfiguration.Read.All | Update: Group.Read.All, DeviceManagementConfiguration.ReadWrite.All","intune","wificonfigurationpolicywindows10","microsoft.intune.wificonfigurationpolicywindows10","2026-02-06T10:47:33Z"
"https://learn.microsoft.com/en-us/graph/utcm-intune-resources#wifiConfigurationPolicyWindows10-resource-type","DeviceManagementConfiguration.Read.All, DeviceManagementConfiguration.ReadWrite.All, Group.Read.All","Read: Group.Read.All, DeviceManagementConfiguration.Read.All | Update: Group.Read.All, DeviceManagementConfiguration.ReadWrite.All","intune","wifiConfigurationPolicyWindows10","microsoft.intune.wifiConfigurationPolicyWindows10","2026-02-06T10:47:33Z"
"https://learn.microsoft.com/en-us/graph/utcm-intune-resources#windowsAutopilotDeploymentProfileAzureADHybridJoined-resource-type","DeviceManagementServiceConfig.Read.All, DeviceManagementServiceConfig.ReadWrite.All, Group.Read.All","Read: Group.Read.All, DeviceManagementServiceConfig.Read.All | Update: Group.Read.All, DeviceManagementServiceConfig.ReadWrite.All","intune","windowsAutopilotDeploymentProfileAzureADHybridJoined","microsoft.intune.windowsAutopilotDeploymentProfileAzureADHybridJoined","2026-02-06T10:47:33Z"
"https://learn.microsoft.com/en-us/graph/utcm-intune-resources#windowsautopilotdeploymentprofileazureadhybridjoined-resource-type","DeviceManagementServiceConfig.Read.All, DeviceManagementServiceConfig.ReadWrite.All, Group.Read.All","Read: Group.Read.All, DeviceManagementServiceConfig.Read.All | Update: Group.Read.All, DeviceManagementServiceConfig.ReadWrite.All","intune","windowsautopilotdeploymentprofileazureadhybridjoined","microsoft.intune.windowsautopilotdeploymentprofileazureadhybridjoined","2026-02-06T10:47:33Z"
"https://learn.microsoft.com/en-us/graph/utcm-intune-resources#windowsAutopilotDeploymentProfileAzureADJoined-resource-type","DeviceManagementServiceConfig.Read.All, DeviceManagementServiceConfig.ReadWrite.All, Group.Read.All","Read: Group.Read.All, DeviceManagementServiceConfig.Read.All | Update: Group.Read.All, DeviceManagementServiceConfig.ReadWrite.All","intune","windowsAutopilotDeploymentProfileAzureADJoined","microsoft.intune.windowsAutopilotDeploymentProfileAzureADJoined","2026-02-06T10:47:33Z"
"https://learn.microsoft.com/en-us/graph/utcm-intune-resources#windowsautopilotdeploymentprofileazureadjoined-resource-type","DeviceManagementServiceConfig.Read.All, DeviceManagementServiceConfig.ReadWrite.All, Group.Read.All","Read: Group.Read.All, DeviceManagementServiceConfig.Read.All | Update: Group.Read.All, DeviceManagementServiceConfig.ReadWrite.All","intune","windowsautopilotdeploymentprofileazureadjoined","microsoft.intune.windowsautopilotdeploymentprofileazureadjoined","2026-02-06T10:47:33Z"
"https://learn.microsoft.com/en-us/graph/utcm-intune-resources#windowsInformationProtectionPolicyWindows10MdmEnrolled-resource-type","DeviceManagementApps.Read.All, DeviceManagementApps.ReadWrite.All, Group.Read.All","Read: Group.Read.All, DeviceManagementApps.Read.All | Update: Group.Read.All, DeviceManagementApps.ReadWrite.All","intune","windowsInformationProtectionPolicyWindows10MdmEnrolled","microsoft.intune.windowsInformationProtectionPolicyWindows10MdmEnrolled","2026-02-06T10:47:33Z"
"https://learn.microsoft.com/en-us/graph/utcm-intune-resources#windowsinformationprotectionpolicywindows10mdmenrolled-resource-type","DeviceManagementApps.Read.All, DeviceManagementApps.ReadWrite.All, Group.Read.All","Read: Group.Read.All, DeviceManagementApps.Read.All | Update: Group.Read.All, DeviceManagementApps.ReadWrite.All","intune","windowsinformationprotectionpolicywindows10mdmenrolled","microsoft.intune.windowsinformationprotectionpolicywindows10mdmenrolled","2026-02-06T10:47:34Z"
